Test Type (For Now only Math Is Possible),Task,Question Number,Question Content (Task Specific),Desired Outcome
m,1,1,"6,5,9",6
m,1,2,"0,1,8",1
m,1,3,"4,3,7",3
m,1,4,"34,59,15,77",77
m,1,5,"16,93,43,79",16
m,1,6,"81,35,40,58",58
m,1,7,"36,84,31,52",36
m,1,8,"92,27,25,50",25
m,1,9,"82,56,72,12",12
m,1,10,"134,158,152,178",134
m,1,11,"466,297,475,231",466
m,1,12,"990,620,812,783",990
m,2,1,"4,8",8
m,2,2,"14,2",14
m,2,3,"5,12",12
m,2,4,"11,15",15
m,2,5,"10,15",15
m,2,6,"10,16",16
m,2,7,"20,18",20
m,2,8,"44,29,30,31",44
m,2,9,"39*,35,32,37",39
m,2,10,"62,74,77,65",77
m,2,11,"104,109,101,106",109
m,2,12,"302,344,783,810",810
m,3,1,"4,5,6,_",7
m,3,2,"2,_,4,5",3
m,3,3,"14,15,_,17",16
m,3,4,"0,2,4,_",6
m,3,5,"40,_,60,70",50
m,3,6,"_,400,500,600",300
m,3,7,"710,711,_,713",712
m,3,8,"223,_,225,226",224
m,3,9,"40,45,_,55",50
m,3,10,"28,_,24,22",26
m,3,11,"750,740,730,_",720
m,3,12,"2,7,_,17",12
m,4,1,"6,1",7
m,4,2,"1,3",4
m,4,3,"5,2",6
m,4,4,"6,2",8
m,4,5,"4,5",9
m,4,6,"3,3",6
m,4,7,"13,6",19
m,4,8,"16,7",23
m,4,9,"12,16",28
m,4,10,"22,37",59
m,4,11,"48, 26",74
m,4,12,"124 ,35",159
m,5,1,"4,1",3
m,5,2,"7,1",6
m,5,3,"5,2",3
m,5,4,"6,2",4
m,5,5,"7,5",2
m,5,6,"6,3",3
m,5,7,"17,6",11
m,5,8,"25,7,",18
m,5,9,"26,14",12
m,5,10,"39,37",2
m,5,11,"64,26",38
m,5,12,"134,12",122
